"Date","Open","High","Low","Close","Volume","Adj Close"
2016-10-24,121.9837,123.2037,121.9337,122.1937,3087000,122.1937
2016-10-25,122.1915,122.4815,122.1815,122.4815,2290000,122.4815
2016-10-26,122.9693,122.9693,122.1293,122.3793,1221000,122.3793
2016-10-27,122.1771,122.3671,120.8271,120.8471,2160000,120.8471
2016-10-28,121.8649,122.5949,121.8349,121.8649,5254000,121.8649
2016-10-31,121.3284,121.8084,121.0184,121.1384,84000,121.1384
2016-11-01,121.4962,121.5762,121.0562,121.5162,230000,121.5162
2016-11-02,121.454,121.674,121.334,121.504,384000,121.504
2016-11-03,121.3118,121.7118,121.3118,121.4818,337000,121.4818
2016-11-04,121.3596,121.5696,121.2096,121.3096,2599000,121.3096
2016-11-07,121.303,121.333,121.153,121.153,13981000,121.153
2016-11-08,121.2008,121.3008,120.8308,121.1408,9570000,121.1408
2016-11-09,121.2286,121.4186,121.1086,121.2386,2857000,121.2386
2016-11-10,121.4064,121.5664,121.0964,121.2964,9639000,121.2964
2016-11-11,121.2942,121.5942,121.1642,121.4942,11729000,121.4942
2016-11-14,122.0877,122.0877,121.5077,121.7377,4450000,121.7377
2016-11-15,121.5755,124.1655,121.5355,121.8655,4163000,121.8655
2016-11-16,121.8433,121.9133,121.8333,121.9133,3142000,121.9133
2016-11-17,121.7911,122.2611,121.7911,122.0211,273000,122.0211
2016-11-18,121.7089,122.1589,121.7089,121.8889,1357000,121.8889
2016-11-21,122.2223,122.2223,121.7723,121.8223,3256000,121.8223
2016-11-23,122.2479,123.7679,121.3879,122.7679,9920000,122.7679
2016-11-24,123.4658,123.4658,122.4658,123.0558,4876000,123.0558
2016-11-25,123.2636,123.6436,122.5636,123.6436,922000,123.6436
2016-11-28,123.617,123.617,122.857,122.867,3284000,122.867
2016-11-29,122.8148,122.8148,121.7548,121.7548,1441000,121.7548
2016-11-30,122.2926,122.2926,120.3926,120.7526,3630000,120.7526
2016-12-01,120.7504,122.0004,120.6104,120.7404,2350000,120.7404
2016-12-02,120.6382,121.0482,119.8482,119.8782,3676000,119.8782
2016-12-05,119.8416,119.8416,117.7416,117.8416,5721000,117.8416
2016-12-06,118.7395,118.7395,116.9595,117.0395,18099000,117.0395
2016-12-07,117.0273,117.1673,116.5173,117.0373,4183000,117.0373
2016-12-08,117.2351,118.0351,117.2351,117.6351,5596000,117.6351
2016-12-09,117.8329,118.2029,117.6829,117.7429,2991000,117.7429
2016-12-12,117.7763,118.7163,114.9263,115.2263,12365000,115.2263
2016-12-13,114.9141,115.2241,114.2841,114.8741,10523000,114.8741
2016-12-14,114.4919,114.8219,114.0319,114.2219,4056000,114.2219
2016-12-15,114.0197,114.5197,112.7197,112.8597,17249000,112.8597
2016-12-16,112.9875,113.0175,112.7175,112.9275,23604000,112.9275
2016-12-19,112.921,113.101,112.791,112.791,7071000,112.791
2016-12-20,113.1888,113.1988,112.0088,112.3088,3930000,112.3088
2016-12-21,112.4566,113.6966,112.3066,113.2266,5977000,113.2266
2016-12-22,113.5544,114.0844,112.9144,113.4144,9367000,113.4144
2016-12-23,113.8522,113.8822,113.3622,113.7122,12466000,113.7122
2016-12-26,113.2945,113.9645,112.9845,113.5945,1301000,113.5945
2016-12-27,113.5918,114.1818,113.3318,113.7818,23749000,113.7818
2016-12-28,113.789,113.789,112.989,113.119,9705000,113.119
2016-12-29,112.5163,113.5863,112.5163,113.3063,19638000,113.3063
2016-12-30,113.7136,113.9836,113.7136,113.8136,15190000,113.8136
2017-01-03,113.7726,114.1226,113.7726,114.0126,3650000,114.0126
2017-01-04,113.9699,114.3199,113.9199,114.1999,1201000,114.1999
2017-01-05,114.7871,115.4671,114.3271,114.9171,9999000,114.9171
2017-01-06,114.5644,115.1144,114.5644,114.8244,4822000,114.8244
2017-01-09,114.8162,115.4862,114.2562,115.4862,3337000,115.4862
